date,close,adjusted_close
2012-05-01,25.1600,20.5872
2012-06-01,25.7300,21.0536
2012-07-01,26.3650,21.5732
2012-08-01,26.8800,21.9946
2012-09-01,27.2800,22.3219
2012-10-01,26.7550,21.8923
2012-11-01,26.9700,22.0682
2012-12-01,26.4500,21.6427
2013-01-01,28.5000,23.3202
2013-02-01,28.9700,23.7047
2013-03-01,29.7400,24.4391
2013-04-01,30.3200,24.9158
2013-05-01,31.5700,25.9430
2013-06-01,30.6300,25.2734
2013-07-01,32.2300,26.5936
2013-08-01,31.1300,25.6859
2013-09-01,31.9700,26.5000
2013-10-01,33.5400,27.8014
2013-11-01,34.5200,28.6137
2013-12-01,35.0000,29.1266
2014-01-01,34.0000,28.2944
2014-02-01,35.5400,29.5760
2014-03-01,35.5200,29.6925
2014-04-01,35.7100,29.8513
2014-05-01,36.5900,30.5869
2014-06-01,37.3200,31.3169
2014-07-01,37.0000,31.0484
2014-08-01,38.1900,32.0470
2014-09-01,37.7400,31.7941
2014-10-01,38.3100,32.2743
2014-11-01,39.5500,33.3189
2014-12-01,39.6500,33.5537
2015-01-01,38.1800,32.3097
2015-02-01,40.2400,34.0530
2015-03-01,39.5100,33.5791
2015-04-01,39.9800,33.9786
2015-05-01,40.1400,34.1146
2015-06-01,39.1700,33.4346
2015-07-01,40.1900,34.3053
2015-08-01,37.9700,32.4103
2015-09-01,36.3700,31.1907
2015-10-01,39.7100,34.0551
2015-11-01,39.7500,34.0894
2015-12-01,39.1400,33.7201
2016-01-01,36.4100,31.3681
2016-02-01,37.2100,32.0574
2016-03-01,39.2300,33.9677
2016-04-01,39.1100,33.8638
2016-05-01,39.9200,34.5652
2016-06-01,39.5800,34.4168
2016-07-01,41.3500,35.9559
2016-08-01,41.3000,35.9124
2016-09-01,41.2000,35.9953
2016-10-01,40.5400,35.4187
2016-11-01,42.0500,36.7379
2016-12-01,42.8100,37.5616
2017-01-01,43.1200,37.8336
2017-02-01,45.0700,39.5446
2017-03-01,44.9700,39.6408
2017-04-01,45.3100,39.9405
2017-05-01,45.8000,40.3724
2017-06-01,46.0100,40.7278
2017-07-01,46.9700,41.5776
2017-08-01,46.9300,41.5422
2017-09-01,47.7500,42.4298
2017-10-01,48.9600,43.5050
2017-11-01,50.3200,44.7135
2017-12-01,51.2200,45.6980
2018-01-01,53.7200,47.9285
2018-02-01,52.1700,46.5456
2018-03-01,49.9400,44.7346
2018-04-01,50.8100,45.5139
2018-05-01,51.6400,46.2574
2018-06-01,52.0000,46.7597
2018-07-01,53.5100,48.1176
2018-08-01,55.1500,49.5923
2018-09-01,55.3600,49.9811
2018-10-01,51.5700,46.5593
2018-11-01,52.0900,47.0288
2018-12-01,47.5900,43.1684
2019-01-01,51.2450,46.4838
2019-02-01,53.0900,48.1574
2019-03-01,53.6425,48.8738
2019-04-01,55.6675,50.7188
2019-05-01,52.6175,47.9399
2019-06-01,55.6450,50.9028
2019-07-01,57.2275,52.3505
2019-08-01,55.5925,50.8548
